line	url
R10H08	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20080402/GMR_10H08_AE_01_05-fA01b_C080402_20080403000018921/R10H08_AE_01_05-fA01b_C080402_20080403000018921_ch2_total.jpg
R10H09	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20091130/GMR_10H09_AE_01_13-fA01b_C091201_20091201142513966/R10H09_AE_01_13-fA01b_C091201_20091201142513966_ch2_total.jpg
R10H10	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20100418/GMR_10H10_AE_01_05-fA01b_C100418_20100419214238109/R10H10_AE_01_05-fA01b_C100418_20100419214238109_ch2_total.jpg
R10H12	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20080326/GMR_10H12_AE_01_03-fA01b_C080326_20080329021046921/R10H12_AE_01_03-fA01b_C080326_20080329021046921_ch2_total.jpg
R11A01	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20100320/GMR_11A01_AE_01_11-fA01b_C100320_20100321132301843/R11A01_AE_01_11-fA01b_C100320_20100321132301843_ch2_total.jpg
R11A03	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/R11A03L/R11A03_LJ_21_00-fA01b_C101208_20101208100235468_ch2_total.jpg
R11A04	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20100702/GMR_11A04_AE_01_05-fA01b_C100702_20100806151107318/R11A04_AE_01_05-fA01b_C100702_20100806151107318_ch2_total.jpg
R11A05	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20090922/GMR_11A05_AE_01_08-fA01b_C090922_20090922112305079/R11A05_AE_01_08-fA01b_C090922_20090922112305079_ch2_total.jpg
R11A06	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20080119/GMR_11A06_AE_01_02-fA01b_C080119_20080124055317421/R11A06_AE_01_02-fA01b_C080119_20080124055317421_ch2_total.jpg
R11A07	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20090922/GMR_11A07_AE_01_06-fA01b_C090922_20090922112626891/R11A07_AE_01_06-fA01b_C090922_20090922112626891_ch2_total.jpg
R11A08	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20080402/GMR_11A08_AE_01_07-fA01b_C080402_20080403003419968/R11A08_AE_01_07-fA01b_C080402_20080403003419968_ch2_total.jpg
R11A09	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20090922/GMR_11A09_AE_01_10-fA01b_C090922_20090922100437730/R11A09_AE_01_10-fA01b_C090922_20090922100437730_ch2_total.jpg
R11A10	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20090226/GMR_11A10_AE_01_02-fA01b_C090226_20090226151445906/R11A10_AE_01_02-fA01b_C090226_20090226151445906_ch2_total.jpg
R11A11	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20090922/GMR_11A11_AE_01_10-fA01b_C090922_20090922100754746/R11A11_AE_01_10-fA01b_C090922_20090922100754746_ch2_total.jpg
R11A12	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20100708/GMR_11A12_AE_01_05-fA01b_C100708_20100708110424953/R11A12_AE_01_05-fA01b_C100708_20100708110424953_ch2_total.jpg
R11B01	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/R11B01L/R11B01_LJ_21_02-fA01b_C110325_20110325110455078_ch2_total.jpg
R11B02	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20100429/GMR_11B02_AE_01_05-fA01b_C100429_20100429091829562/R11B02_AE_01_05-fA01b_C100429_20100429091829562_ch2_total.jpg
R11B03	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20090922/GMR_11B03_AE_01_04-fA01b_C090922_20090922101123277/R11B03_AE_01_04-fA01b_C090922_20090922101123277_ch2_total.jpg
R11B04	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20090922/GMR_11B04_AE_01_14-fA01b_C090922_20090922101435089/R11B04_AE_01_14-fA01b_C090922_20090922101435089_ch2_total.jpg
R11B05	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20080502/GMR_11B05_AE_01_03-fA01b_C080502_20080502234146421/R11B05_AE_01_03-fA01b_C080502_20080502234146421_ch2_total.jpg
R11B06	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20100407/GMR_11B06_AE_01_11-fA01b_C100407_20100408134400062/R11B06_AE_01_11-fA01b_C100407_20100408134400062_ch2_total.jpg
R11B07	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20110629/GMR_11B07_AE_01_14-fA01b_C110629_20110629102632140/R11B07_AE_01_14-fA01b_C110629_20110629102632140_ch2_total.jpg
R11B08	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20080215/GMR_11B08_AE_01_04-fA01b_C080215_20080226015129093/R11B08_AE_01_04-fA01b_C080215_20080226015129093_ch2_total.jpg
R11B09	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20100708/GMR_11B09_AE_01_13-fA01b_C100708_20100708110557000/R11B09_AE_01_13-fA01b_C100708_20100708110557000_ch2_total.jpg
R11B10	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20080402/GMR_11B10_AE_01_05-fA01b_C080402_20080403010146859/R11B10_AE_01_05-fA01b_C080402_20080403010146859_ch2_total.jpg
R11B11	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20100429/GMR_11B11_AE_01_04-fA01b_C100429_20100429091933828/R11B11_AE_01_04-fA01b_C100429_20100429091933828_ch2_total.jpg
R11B12	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20090922/GMR_11B12_AE_01_07-fA01b_C090922_20090922101749199/R11B12_AE_01_07-fA01b_C090922_20090922101749199_ch2_total.jpg
R11C01	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/R11C01/R11C01_AE_01_06-fA01b_C100407_20100408134509812_ch2_total.jpg
R11C02	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20091130/GMR_11C02_AE_01_04-fA01b_C091201_20091201141046841/R11C02_AE_01_04-fA01b_C091201_20091201141046841_ch2_total.jpg
R11C04	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20100319/GMR_11C04_AE_01_08-fA01b_C100319_20100319105602984/R11C04_AE_01_08-fA01b_C100319_20100319105602984_ch2_total.jpg
R11C05	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/R11C05/R11C05_AE_01_13-fA01b_C091216_20091216105005428_ch2_total.jpg
R11C07	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20100429/GMR_11C07_AE_01_05-fA01b_C100429_20100429092106843/R11C07_AE_01_05-fA01b_C100429_20100429092106843_ch2_total.jpg
R11C08	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/R11C08L/R11C08_LJ_21_01-fA01b_C131122_20131204113204617_ch2_total.jpg
R11C10	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20080119/GMR_11C10_AE_01_08-fA01b_C080120_20080124061015578/R11C10_AE_01_08-fA01b_C080120_20080124061015578_ch2_total.jpg
R11C11	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20091126/GMR_11C11_AE_01_04-fA01b_C091126_20091126102855653/R11C11_AE_01_04-fA01b_C091126_20091126102855653_ch2_total.jpg
R11C12	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20080412/GMR_11C12_AE_01_20-fA01b_C080412_20080415055110390/R11C12_AE_01_20-fA01b_C080412_20080415055110390_ch2_total.jpg
R11D01	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20091030/GMR_11D01_AE_01_09-fA01b_C091030_20091030124448828/R11D01_AE_01_09-fA01b_C091030_20091030124448828_ch2_total.jpg
R11D02	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20100708/GMR_11D02_AE_01_04-fA01b_C100708_20100708110656859/R11D02_AE_01_04-fA01b_C100708_20100708110656859_ch2_total.jpg
R11D03	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20100429/GMR_11D03_AE_01_11-fA01b_C100429_20100429092234812/R11D03_AE_01_11-fA01b_C100429_20100429092234812_ch2_total.jpg
R11D04	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20100319/GMR_11D04_AE_01_10-fA01b_C100319_20100319105629359/R11D04_AE_01_10-fA01b_C100319_20100319105629359_ch2_total.jpg
R11D06	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20080128/GMR_11D06_AE_01_01-fA01b_C080128_20080129223427031/R11D06_AE_01_01-fA01b_C080128_20080129223427031_ch2_total.jpg
R11D07	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20090227/GMR_11D07_AE_01_00-fA01b_C090227_20090227105155046/R11D07_AE_01_00-fA01b_C090227_20090227105155046_ch2_total.jpg
R11D08	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20080504/GMR_11D08_AE_01_03-fA01b_C080504_20080506022449609/R11D08_AE_01_03-fA01b_C080504_20080506022449609_ch2_total.jpg
R11D09	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20091216/GMR_11D09_AE_01_13-fA01b_C091216_20091216105344037/R11D09_AE_01_13-fA01b_C091216_20091216105344037_ch2_total.jpg
R11D10	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20080504/GMR_11D10_AE_01_06-fA01b_C080504_20080506023412296/R11D10_AE_01_06-fA01b_C080504_20080506023412296_ch2_total.jpg
